"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Josh Palmer","LAC","30.0","416.7","2.5","1.0","6.0","0.0","1.0","85.2"
"Zach Pascal","IND","28.3","383.8","3.1","0.3","2.0","0.0","0.0","85.2"
"Kendrick Bourne","NE","31.6","400.7","2.3","0.0","0.0","0.0","0.1","84.9"
"KJ Hamler","DEN","30.2","361.5","2.4","8.9","43.9","0.2","0.6","84.6"
"Jalen Guyton","LAC","27.4","419.5","2.3","2.0","7.9","0.1","0.1","84.0"
"Keke Coutee","HOU","34.2","391.6","2.0","0.7","3.7","0.3","2.2","83.3"
"Kadarius Toney","NYG","29.9","356.8","1.9","6.6","39.9","0.2","0.3","81.7"
"Tim Patrick","DEN","28.4","375.2","2.5","0.0","0.0","0.0","0.6","79.6"
"Mohamed Sanu","SF","32.8","339.1","2.0","1.3","5.7","0.0","0.5","78.1"
"Olamide Zaccheaus","ATL","27.0","394.3","2.0","0.3","1.4","0.0","0.1","78.1"
"Bryan Edwards","LV","26.5","369.0","2.1","0.0","0.0","0.0","0.2","75.7"
"Deonte Harris","NO","27.9","315.8","1.7","7.3","47.8","0.1","0.2","74.5"
"Preston Williams","MIA","24.5","314.6","2.9","0.0","0.0","0.0","0.6","72.4"
"Adam Humphries","WAS","30.2","329.1","1.6","0.0","0.0","0.0","0.1","72.4"
"Damiere Byrd","CHI","26.7","304.7","1.5","0.3","2.0","0.0","0.6","65.5"
"Tyron Johnson","LAC","19.9","311.3","2.1","2.3","13.0","0.0","0.1","65.2"
"Richie James Jr.","SF","23.8","364.3","1.5","0.8","0.0","0.0","2.1","64.8"
"Quintez Cephus","DET","23.9","316.6","1.5","0.0","0.0","0.0","0.2","64.1"
"Byron Pringle","KC","22.6","290.1","2.0","0.0","0.0","0.0","0.2","63.4"
"Dyami Brown","WAS","22.2","309.1","1.7","0.0","0.0","0.0","0.2","63.0"
"Travis Fulgham","PHI","23.0","297.6","1.6","0.0","0.0","0.0","0.1","62.4"
"Tutu Atwell","LAR","21.5","279.8","1.4","0.0","0.0","0.0","0.2","57.3"
"Auden Tate","CIN","20.5","259.9","1.4","0.0","0.0","0.0","0.1","54.8"
"Isaiah McKenzie","BUF","18.9","200.7","1.9","5.7","28.5","0.2","0.1","54.4"
"Scotty Miller","TB","17.0","244.7","1.8","1.4","7.7","0.1","0.1","53.6"
"Isaiah Coulter","HOU","18.3","275.6","1.5","1.0","4.0","0.0","1.0","53.3"
"Amari Rodgers","GB","18.2","223.1","1.3","2.0","12.4","0.1","0.2","49.9"
"Greg Ward","PHI","21.1","208.9","1.2","0.0","0.0","0.0","0.2","48.5"
"Donovan Peoples-Jones","CLE","17.1","225.5","1.2","0.0","0.0","0.0","0.1","46.8"
"Devin Duvernay","BAL","16.7","183.8","1.2","1.7","11.7","0.0","0.1","43.3"
"Bisi Johnson","MIN","16.4","188.2","1.3","0.0","0.0","0.0","0.0","42.8"
"N'Keal Harry","NE","15.4","187.0","1.3","0.9","5.6","0.0","0.1","42.7"
"Dez Fitzpatrick","TEN","15.3","199.9","1.0","0.0","0.0","0.0","0.1","41.2"
"Marquise Goodwin","CHI","15.0","197.9","1.0","0.0","0.0","0.0","0.1","40.9"
"Collin Johnson","JAC","15.6","189.6","0.8","0.0","0.0","0.0","0.1","38.8"
"Phillip Dorsett II","JAC","14.3","173.4","1.1","0.0","0.0","0.0","0.1","38.0"
"Willie Snead IV","LV","14.5","167.8","0.9","0.0","0.0","0.0","0.1","36.4"
"David Moore","CAR","11.7","160.7","1.0","1.2","7.7","0.0","0.1","34.3"
"Ty Montgomery","NO","12.7","105.9","0.6","12.8","53.8","0.3","0.1","34.0"
"Freddie Swain","SEA","12.4","155.7","1.0","0.0","0.0","0.0","0.1","34.0"
"Dede Westbrook","MIN","12.0","127.7","1.0","0.7","3.6","0.0","0.1","31.1"
"Christian Blake","ATL","12.5","146.4","0.5","0.0","0.0","0.0","0.1","29.9"
"Andy Isabella","ARI","11.0","136.6","0.7","0.0","0.0","0.0","0.0","28.9"
"KeeSean Johnson","ARI","10.7","122.2","1.0","0.0","0.0","0.0","0.0","28.8"
"Ray-Ray McCloud","PIT","11.3","113.5","0.7","3.0","19.1","0.1","0.2","28.7"
"Lynn Bowden Jr.","MIA","10.8","98.8","0.2","10.2","49.3","0.2","0.1","28.2"
"Chris Moore","HOU","10.5","120.8","0.7","0.0","0.0","0.0","0.0","26.8"
"Cedrick Wilson","DAL","9.8","127.9","0.7","0.0","0.0","0.0","0.1","26.5"
"Miles Boykin","BAL","8.8","118.9","0.7","0.8","4.9","0.0","0.1","25.2"
"Javon Wims","CHI","9.6","122.4","0.5","0.0","0.0","0.0","0.1","24.8"
"Jeff Smith","NYJ","9.6","107.1","0.6","0.0","0.0","0.0","0.0","24.0"
"Jalen Hurd","SF","7.1","90.3","0.6","4.7","28.8","0.2","0.1","23.2"
"Noah Brown","DAL","8.6","106.1","0.6","0.0","0.0","0.0","0.1","22.9"
"Tyler Johnson","TB","8.1","102.8","0.8","0.0","0.0","0.0","0.0","22.8"
"Jamal Agnew","JAC","6.8","76.1","0.4","6.2","34.0","0.2","0.1","21.5"
"Chris Hogan","NO","7.5","99.9","0.7","0.0","0.0","0.0","0.1","21.5"
"Chad Beebe","MIN","7.9","96.1","0.7","0.0","0.0","0.0","0.1","21.2"
"Andre Roberts","HOU","7.8","101.5","0.5","0.0","0.0","0.0","0.0","21.0"
"Cam Sims","WAS","7.6","102.8","0.5","0.0","0.0","0.0","0.0","20.7"
"Cameron Batson","TEN","7.2","79.8","0.6","2.5","14.9","0.1","0.1","20.7"
"Mike Thomas","CIN","7.5","93.7","0.6","0.0","0.0","0.0","0.1","20.2"
"Alex Erickson","HOU","7.9","92.6","0.4","0.0","0.0","0.0","0.1","19.7"
"Frank Darby","ATL","7.3","92.4","0.5","0.0","0.0","0.0","0.0","19.2"
"Kalif Raymond","DET","7.5","101.1","0.3","0.0","0.0","0.0","0.1","19.2"
"Anthony Schwartz","CLE","6.8","82.4","0.6","0.0","0.0","0.0","0.0","18.3"
"Penny Hart","SEA","6.3","73.8","0.5","1.8","9.3","0.0","0.0","18.0"
"DaeSean Hamilton","DEN","7.3","75.2","0.5","0.0","0.0","0.0","0.0","17.7"
"Kawaan Baker","NO","6.1","82.7","0.5","0.0","0.0","0.0","0.0","17.2"
"Steven Sims Jr.","WAS","6.0","75.2","0.4","0.0","0.0","0.0","0.0","16.0"
"Albert Wilson","MIA","5.7","59.2","0.4","1.6","8.8","0.0","0.0","14.8"
"Nick Westbrook-Ikhine","TEN","5.3","70.3","0.4","0.0","0.0","0.0","0.0","14.8"
"Antonio Gandy-Golden","WAS","4.9","64.9","0.4","1.0","5.8","0.0","0.0","14.3"
"Juwan Johnson","NO","5.9","78.1","0.1","0.0","0.0","0.0","0.0","14.2"
"John Ross","NYG","4.3","56.6","0.5","0.7","3.9","0.0","0.1","13.5"
"Shi Smith","CAR","5.1","62.6","0.3","0.0","0.0","0.0","0.0","12.9"
"Tajae Sharpe","ATL","4.7","58.7","0.4","0.0","0.0","0.0","0.0","12.6"
"Lil'Jordan Humphrey","NO","4.2","54.7","0.3","0.0","0.0","0.0","0.0","11.7"
"Ihmir Smith-Marsette","MIN","4.6","60.7","0.1","0.0","0.0","0.0","0.0","11.4"
"Victor Bolden Jr.","DET","4.6","52.1","0.3","0.0","0.0","0.0","0.0","11.4"
"Diontae Spencer","DEN","3.6","40.1","0.2","2.4","13.6","0.1","0.0","10.8"
"Jaelon Darden","TB","4.2","48.0","0.3","0.0","0.0","0.0","0.0","10.7"
"Simi Fehoko","DAL","3.9","50.6","0.3","0.0","0.0","0.0","0.0","10.7"
"Cornell Powell","KC","3.8","48.5","0.3","0.0","0.0","0.0","0.0","10.6"
"Greg Dortch","ARI","4.1","46.9","0.3","0.0","0.0","0.0","0.0","10.3"
"Isaiah Hodgins","BUF","3.7","46.8","0.3","0.0","0.0","0.0","0.0","10.2"
"Riley Ridley","CHI","3.8","45.4","0.3","0.0","0.0","0.0","0.0","9.9"
"Marcus Johnson","TEN","3.6","43.6","0.3","0.0","0.0","0.0","0.0","9.9"
"Chester Rogers","TEN","3.9","38.0","0.3","0.0","0.0","0.0","0.0","9.6"
"Trent Taylor","CIN","3.9","40.0","0.2","0.0","0.0","0.0","0.0","9.4"
"Jakeem Grant Sr.","MIA","3.2","35.1","0.2","1.5","8.4","0.0","0.0","9.1"
"Zay Jones","LV","3.3","37.3","0.3","0.0","0.0","0.0","0.0","8.8"
"Dazz Newsome","CHI","3.3","42.6","0.2","0.0","0.0","0.0","0.0","8.8"
"Tylan Wallace","BAL","3.0","38.7","0.3","0.0","0.0","0.0","0.0","8.5"
"Gunner Olszewski","NE","2.8","33.8","0.2","1.8","9.7","0.1","0.0","8.5"
"Quez Watkins","PHI","2.9","37.8","0.2","0.0","0.0","0.0","0.0","7.7"
"Marcus Kemp","KC","2.4","30.5","0.2","0.0","0.0","0.0","0.0","6.6"
"Devin Funchess","GB","2.0","26.0","0.2","0.0","0.0","0.0","0.0","5.8"
"Justin Watson","TB","2.0","24.9","0.2","0.0","0.0","0.0","0.0","5.5"
"Isaac Whitney","ARI","2.1","24.1","0.2","0.0","0.0","0.0","0.0","5.5"
"Terry Godwin","JAC","2.0","22.5","0.2","0.0","0.0","0.0","0.0","5.3"
"Brandon Powell","BUF","2.0","21.8","0.2","0.0","0.0","0.0","0.0","5.2"
"J.J. Arcega-Whiteside","PHI","1.6","23.3","0.2","0.0","0.0","0.0","0.0","4.9"
"Braxton Berrios","NYJ","1.5","17.4","0.1","1.0","5.8","0.0","0.0","4.4"
"Seth Williams","DEN","1.7","20.3","0.1","0.0","0.0","0.0","0.0","4.3"
"K.J. Hill Jr.","LAC","1.4","16.7","0.1","1.0","6.2","0.0","0.0","4.3"
"Allen Hurns","MIA","1.6","16.7","0.2","0.0","0.0","0.0","0.0","4.3"
"Dezmon Patmon","IND","1.6","20.7","0.1","0.0","0.0","0.0","0.0","4.3"
"Mike Strachan","IND","1.6","20.7","0.1","0.0","0.0","0.0","0.0","4.3"
"Racey McMath","TEN","1.5","19.2","0.1","0.0","0.0","0.0","0.0","4.3"
"Equanimeous St. Brown","GB","1.3","17.1","0.2","0.0","0.0","0.0","0.0","4.1"
"Travis Benjamin","SF","1.2","17.3","0.2","0.0","0.0","0.0","0.0","3.9"
"Malik Taylor","GB","1.2","13.8","0.2","0.0","0.0","0.0","0.0","3.6"
"Isaiah Ford","MIA","1.6","15.0","0.1","0.0","0.0","0.0","0.0","3.4"
"Malcolm Perry","MIA","0.9","9.1","0.0","1.8","9.4","0.1","0.0","3.2"
"Brandon Zylstra","CAR","1.2","15.3","0.1","0.0","0.0","0.0","0.0","3.0"
"Kendall Hinton","DEN","1.1","12.1","0.0","1.2","6.4","0.0","0.0","3.0"
"Trent Sherfield","SF","1.1","14.5","0.1","0.0","0.0","0.0","0.0","2.9"
"Trey Quinn","LV","1.2","12.3","0.0","0.0","0.0","0.0","0.0","2.4"
"Joe Reed","LAC","0.8","9.4","0.0","0.9","4.8","0.0","0.0","2.3"
"Matt Cole","NYG","0.9","9.5","0.0","0.9","4.3","0.0","0.0","2.2"
"Damion Ratley","DET","1.0","11.6","0.0","0.0","0.0","0.0","0.0","2.2"
"Antonio Callaway","KC","0.9","11.1","0.0","0.0","0.0","0.0","0.0","2.0"
"DeMichael Harris","IND","0.7","8.1","0.0","0.9","4.7","0.0","0.0","2.0"
"Malik Turner","DAL","0.9","10.6","0.0","0.0","0.0","0.0","0.0","1.9"
"Kelvin Harmon","WAS","0.8","10.6","0.0","0.0","0.0","0.0","0.0","1.9"
"DeAndre Carter","WAS","0.9","10.4","0.0","0.0","0.0","0.0","0.0","1.9"
"Vyncint Smith","NYJ","0.9","10.1","0.0","0.0","0.0","0.0","0.0","1.9"
"Gehrig Dieter","KC","0.9","9.7","0.0","0.0","0.0","0.0","0.0","1.8"
"Isaiah Wright","WAS","0.9","9.6","0.0","0.0","0.0","0.0","0.0","1.8"
"Nsimba Webster","SF","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.8"
"Darrius Shepherd","KC","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.8"
"Josh Malone","NYJ","0.9","9.4","0.0","0.0","0.0","0.0","0.0","1.8"
"Jason Moore","LAC","0.8","9.5","0.0","0.0","0.0","0.0","0.0","1.8"
"Jeff Badet","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Chris Rowland","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Chad Hansen","DET","0.9","9.2","0.0","0.0","0.0","0.0","0.0","1.8"
"Keelan Doss","LV","0.8","9.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Tanner Gentry","BUF","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.8"
"Cyril Grayson Jr.","TB","0.9","9.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Trenton Irwin","CIN","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.7"
"Lawrence Cager","NYJ","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Chad Williams","KC","0.8","8.8","0.0","0.0","0.0","0.0","0.0","1.7"
"John Ursua","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Darvin Kidsy","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Stanley Morgan Jr.","CIN","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Laquon Treadwell","JAC","0.8","8.4","0.0","0.0","0.0","0.0","0.0","1.7"
"John Hightower","PHI","0.7","9.8","0.0","0.0","0.0","0.0","0.0","1.7"
"Marcell Ateman","LV","0.7","9.1","0.0","0.0","0.0","0.0","0.0","1.6"
"Jake Lampman","NO","0.7","9.4","0.0","0.0","0.0","0.0","0.0","1.6"
"Robert Foster","MIA","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.6"
"Mack Hollins","MIA","0.8","8.0","0.0","0.0","0.0","0.0","0.0","1.6"
"KhaDarel Hodge","CLE","0.7","8.8","0.0","0.0","0.0","0.0","0.0","1.6"
"Derrick Willies","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.6"
"Marvin Hall","NE","0.7","8.9","0.0","0.0","0.0","0.0","0.0","1.6"
"K.J. Osborn","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.6"
"Dan Chisena","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.6"
"Alexander Hollins","CLE","0.7","8.5","0.0","0.0","0.0","0.0","0.0","1.6"
"Ja'Marcus Bradley","CLE","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.5"
"JoJo Natson","CLE","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.5"
"Dante Pettis","NYG","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.5"
"Cody Hollister","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
